"idCliente","Nome","Tipo","Media de Alunos","Classificacao","idCidade"
"2149","CLI249","Escola Fundamental","314","A","526"
"2150","CLI250","Universidade Privada","381","A","508"
"2151","CLI251","Universidade Pública","376","A","508"
"2152","CLI252","Universidade Pública","344","C","523"
"2153","CLI253","Universidade Privada","405","D","527"
"2154","CLI254","Escola Secundária","331","C","524"
"2155","CLI255","Universidade Privada","432","C","527"
"2156","CLI256","Universidade Privada","461","A","514"
"2157","CLI257","Universidade Privada","473","A","504"
"2158","CLI258","Universidade Pública","389","D","531"
"2159","CLI259","Escola Fundamental","489","D","505"
"2160","CLI260","Escola Fundamental","417","B","516"
"2161","CLI261","Universidade Privada","433","D","517"
"2162","CLI262","Universidade Privada","372","B","530"
"2163","CLI263","Universidade Privada","337","B","523"
"2164","CLI264","Escola Fundamental","372","B","517"
"2165","CLI265","Escola Fundamental","379","C","525"
"2166","CLI266","Universidade Privada","422","C","514"
"2167","CLI267","Universidade Pública","382","B","502"
"2168","CLI268","Universidade Privada","470","C","520"
"2169","CLI269","Escola Secundária","393","A","520"
"2170","CLI270","Universidade Privada","366","D","509"
"2171","CLI271","Escola Fundamental","350","A","517"
"2172","CLI272","Universidade Privada","473","D","527"
"2173","CLI273","Escola Fundamental","473","D","511"
"2174","CLI274","Universidade Privada","451","B","518"
"2175","CLI275","Universidade Privada","436","A","529"
"2176","CLI276","Universidade Privada","466","B","500"
"2177","CLI277","Escola Secundária","314","A","502"
"2178","CLI278","Universidade Pública","352","B","527"
"2179","CLI279","Escola Fundamental","334","C","521"
"2180","CLI280","Universidade Pública","490","B","532"
"2181","CLI281","Escola Fundamental","410","C","528"
"2182","CLI282","Universidade Privada","440","D","504"
"2183","CLI283","Universidade Pública","387","C","528"
"2184","CLI284","Escola Secundária","359","B","507"
"2185","CLI285","Universidade Pública","446","C","522"
"2186","CLI286","Universidade Privada","322","D","511"
"2187","CLI287","Escola Fundamental","493","C","508"
"2188","CLI288","Universidade Privada","357","C","528"
"2189","CLI289","Universidade Privada","426","A","511"
"2190","CLI290","Universidade Privada","492","C","520"
"2191","CLI291","Universidade Privada","440","D","521"
"2192","CLI292","Universidade Privada","383","A","505"
"2193","CLI293","Universidade Pública","353","B","517"
"2194","CLI294","Universidade Privada","357","D","527"
"2195","CLI295","Escola Secundária","471","A","515"
"2196","CLI296","Escola Fundamental","340","C","502"
"2197","CLI297","Escola Secundária","468","A","500"
"2198","CLI298","Escola Secundária","346","B","513"
"2199","CLI299","Universidade Privada","437","C","517"
"2200","CLI300","Universidade Privada","380","B","512"
"2201","CLI301","Escola Fundamental","320","B","523"
"2202","CLI302","Escola Fundamental","465","D","511"
"2203","CLI303","Escola Fundamental","323","A","527"
"2204","CLI304","Escola Fundamental","421","A","510"
"2205","CLI305","Universidade Pública","491","C","525"
"2206","CLI306","Universidade Privada","414","D","522"
"2207","CLI307","Universidade Pública","327","C","532"
"2208","CLI308","Universidade Privada","448","C","522"
"2209","CLI309","Universidade Privada","470","A","509"
"2210","CLI310","Universidade Privada","455","C","533"
"2211","CLI311","Universidade Pública","458","D","511"
"2212","CLI312","Universidade Privada","384","B","525"
"2213","CLI313","Escola Fundamental","321","A","526"
"2214","CLI314","Escola Fundamental","450","A","506"
"2215","CLI315","Universidade Privada","308","C","519"
"2216","CLI316","Escola Secundária","450","B","522"
"2217","CLI317","Escola Secundária","410","D","506"
"2218","CLI318","Escola Fundamental","433","C","520"
"2219","CLI319","Universidade Privada","363","D","512"
"2220","CLI320","Universidade Privada","470","C","511"
"2221","CLI321","Universidade Pública","440","D","503"
"2222","CLI322","Universidade Pública","334","B","508"
"2223","CLI323","Escola Fundamental","453","A","533"
"2224","CLI324","Universidade Pública","397","A","527"
"2225","CLI325","Universidade Privada","423","C","505"
"2226","CLI326","Universidade Privada","398","A","506"
"2227","CLI327","Escola Secundária","477","C","514"
"2228","CLI328","Universidade Pública","496","B","518"
"2229","CLI329","Escola Fundamental","456","A","517"
"2230","CLI330","Escola Fundamental","401","C","511"
"2231","CLI331","Universidade Privada","346","C","508"
"2232","CLI332","Escola Fundamental","302","B","502"
"2233","CLI333","Universidade Pública","394","C","530"
"2234","CLI334","Universidade Privada","424","B","500"
"2235","CLI335","Universidade Pública","399","D","521"
"2236","CLI336","Universidade Privada","390","C","500"
"2237","CLI337","Escola Fundamental","477","B","507"
"2238","CLI338","Universidade Pública","306","C","500"
"2239","CLI339","Universidade Privada","318","A","504"
"2240","CLI340","Universidade Privada","313","C","505"
"2241","CLI341","Universidade Privada","327","B","516"
"2242","CLI342","Escola Fundamental","308","A","512"
"2243","CLI343","Escola Secundária","367","D","504"
"2244","CLI344","Escola Secundária","493","D","515"
"2245","CLI345","Escola Secundária","499","D","515"
"2246","CLI346","Universidade Pública","467","B","529"
"2247","CLI347","Universidade Privada","431","A","521"
"2248","CLI348","Universidade Pública","344","D","519"
"2249","CLI349","Universidade Privada","426","C","505"
"2250","CLI350","Universidade Privada","399","A","513"
"2251","CLI351","Escola Secundária","434","D","511"
"2252","CLI352","Escola Fundamental","390","A","508"
"2253","CLI353","Escola Secundária","343","B","517"
"2254","CLI354","Escola Secundária","318","A","520"
"2255","CLI355","Universidade Privada","454","A","525"
"2256","CLI356","Escola Secundária","401","A","530"
"2257","CLI357","Universidade Pública","460","D","512"
"2258","CLI358","Universidade Privada","467","C","514"
"2259","CLI359","Universidade Pública","323","B","500"
"2260","CLI360","Escola Fundamental","451","B","531"
"2261","CLI361","Escola Fundamental","445","C","529"
"2262","CLI362","Universidade Privada","429","D","533"
"2263","CLI363","Universidade Privada","386","B","509"
"2264","CLI364","Universidade Privada","463","C","515"
"2265","CLI365","Universidade Privada","310","A","512"
"2266","CLI366","Escola Secundária","437","B","526"
"2267","CLI367","Universidade Privada","339","A","508"
"2268","CLI368","Universidade Privada","397","C","529"
"2269","CLI369","Escola Fundamental","360","C","509"
"2270","CLI370","Universidade Pública","449","A","524"
"2271","CLI371","Universidade Pública","386","D","505"
"2272","CLI372","Escola Fundamental","343","B","522"
"2273","CLI373","Escola Fundamental","469","C","521"
"2274","CLI374","Universidade Pública","438","C","512"
"2275","CLI375","Escola Fundamental","301","D","502"
"2276","CLI376","Escola Fundamental","338","B","532"
"2277","CLI377","Universidade Pública","359","C","527"
"2278","CLI378","Escola Fundamental","443","C","526"
"2279","CLI379","Universidade Privada","415","A","529"
"2280","CLI380","Escola Fundamental","436","D","527"
"2281","CLI381","Universidade Pública","434","B","503"
"2282","CLI382","Escola Secundária","362","C","513"
"2283","CLI383","Universidade Pública","418","C","522"
"2284","CLI384","Universidade Privada","423","A","514"
"2285","CLI385","Escola Secundária","335","D","516"
"2286","CLI386","Escola Secundária","471","D","502"
"2287","CLI387","Escola Fundamental","395","D","513"
"2288","CLI388","Escola Fundamental","367","A","523"
"2289","CLI389","Escola Secundária","450","C","505"
"2290","CLI390","Universidade Privada","464","B","521"
"2291","CLI391","Universidade Privada","349","D","508"
"2292","CLI392","Escola Secundária","388","A","518"
"2293","CLI393","Escola Fundamental","350","B","528"
"2294","CLI394","Universidade Pública","415","C","527"
"2295","CLI395","Escola Secundária","475","B","529"
"2296","CLI396","Universidade Pública","479","D","501"
"2297","CLI397","Escola Fundamental","375","B","511"
"2298","CLI398","Universidade Pública","352","C","523"
"2299","CLI399","Universidade Privada","415","B","520"
"2300","CLI400","Universidade Privada","338","C","521"
"2301","CLI401","Universidade Privada","497","D","511"
"2302","CLI402","Escola Secundária","386","C","520"
"2303","CLI403","Escola Secundária","325","B","513"
"2304","CLI404","Escola Secundária","494","B","506"
"2305","CLI405","Universidade Privada","305","C","508"
"2306","CLI406","Universidade Privada","341","B","525"
"2307","CLI407","Escola Secundária","471","C","526"
"2308","CLI408","Universidade Pública","360","A","506"
"2309","CLI409","Escola Fundamental","336","A","517"
"2310","CLI410","Universidade Privada","391","D","525"
"2311","CLI411","Universidade Privada","336","D","517"
"2312","CLI412","Escola Secundária","491","C","502"
"2313","CLI413","Universidade Privada","425","A","515"
"2314","CLI414","Escola Fundamental","493","D","532"
"2315","CLI415","Universidade Pública","302","A","526"
"2316","CLI416","Universidade Pública","318","C","524"
"2317","CLI417","Universidade Pública","364","A","513"
"2318","CLI418","Escola Fundamental","421","B","505"
"2319","CLI419","Escola Fundamental","463","A","500"
"2320","CLI420","Universidade Privada","342","D","512"
"2321","CLI421","Escola Secundária","359","D","532"
"2322","CLI422","Escola Fundamental","463","B","516"
"2323","CLI423","Universidade Privada","362","C","501"
"2324","CLI424","Universidade Privada","428","B","525"
"2325","CLI425","Universidade Privada","495","D","509"
"2326","CLI426","Escola Secundária","416","A","505"
"2327","CLI427","Escola Fundamental","336","B","529"
"2328","CLI428","Escola Fundamental","424","B","527"
"2329","CLI429","Universidade Privada","395","A","515"
"2330","CLI430","Universidade Privada","442","D","502"
"2331","CLI431","Universidade Privada","443","A","503"
"2332","CLI432","Escola Secundária","300","A","522"
"2333","CLI433","Universidade Privada","322","C","531"
"2334","CLI434","Universidade Privada","312","C","503"
"2335","CLI435","Universidade Privada","401","B","517"
"2336","CLI436","Escola Secundária","500","D","506"
"2337","CLI437","Escola Fundamental","346","D","529"
"2338","CLI438","Universidade Privada","306","D","532"
"2339","CLI439","Escola Fundamental","424","A","507"
"2340","CLI440","Escola Secundária","301","A","522"
"2341","CLI441","Escola Fundamental","322","B","526"
"2342","CLI442","Escola Secundária","448","D","500"
"2343","CLI443","Escola Fundamental","347","B","504"
"2344","CLI444","Universidade Privada","463","A","520"
"2345","CLI445","Universidade Pública","471","D","512"
"2346","CLI446","Universidade Privada","449","B","515"
"2347","CLI447","Escola Fundamental","385","A","511"
"2348","CLI448","Universidade Pública","494","C","527"
"2349","CLI449","Escola Fundamental","468","A","518"
"2350","CLI450","Escola Secundária","465","B","500"
"2351","CLI451","Escola Fundamental","374","A","523"
"2352","CLI452","Universidade Pública","479","B","506"
"2353","CLI453","Escola Fundamental","396","D","518"
"2354","CLI454","Escola Secundária","323","A","519"
"2355","CLI455","Universidade Privada","359","B","525"
"2356","CLI456","Escola Fundamental","470","C","533"
"2357","CLI457","Escola Fundamental","452","B","505"
"2358","CLI458","Universidade Privada","448","B","532"
"2359","CLI459","Escola Fundamental","454","A","512"
"2360","CLI460","Escola Fundamental","448","A","507"
"2361","CLI461","Universidade Privada","319","C","532"
"2362","CLI462","Universidade Pública","492","D","531"
"2363","CLI463","Escola Secundária","344","B","520"
"2364","CLI464","Escola Fundamental","452","A","522"
"2365","CLI465","Escola Fundamental","316","C","501"
"2366","CLI466","Escola Fundamental","318","B","518"
"2367","CLI467","Escola Secundária","382","D","521"
"2368","CLI468","Universidade Privada","313","D","500"
"2369","CLI469","Universidade Pública","351","C","525"
"2370","CLI470","Universidade Pública","364","A","522"
"2371","CLI471","Universidade Pública","334","B","509"
"2372","CLI472","Universidade Pública","479","C","507"
"2373","CLI473","Universidade Privada","331","C","522"
"2374","CLI474","Universidade Privada","347","C","506"
"2375","CLI475","Universidade Privada","418","B","509"
"2376","CLI476","Escola Secundária","370","C","500"
"2377","CLI477","Universidade Privada","488","C","512"
"2378","CLI478","Escola Secundária","436","C","525"
"2379","CLI479","Escola Fundamental","499","D","532"
"2380","CLI480","Universidade Privada","387","C","508"
"2381","CLI481","Escola Secundária","390","B","533"
"2382","CLI482","Escola Fundamental","391","B","533"
"2383","CLI483","Universidade Pública","432","A","524"
"2384","CLI484","Universidade Privada","305","B","509"
"2385","CLI485","Escola Fundamental","362","B","510"
"2386","CLI486","Escola Fundamental","367","C","504"
"2387","CLI487","Universidade Privada","486","C","522"
"2388","CLI488","Escola Secundária","358","C","524"
"2389","CLI489","Universidade Privada","340","D","512"
"2390","CLI490","Escola Secundária","371","D","516"
"2391","CLI491","Escola Fundamental","317","B","511"
"2392","CLI492","Escola Secundária","430","A","517"
"2393","CLI493","Universidade Privada","365","A","500"
"2394","CLI494","Escola Secundária","348","D","515"
"2395","CLI495","Escola Secundária","342","A","500"
"2396","CLI496","Escola Fundamental","445","C","520"
"2397","CLI497","Escola Fundamental","455","A","525"
"2398","CLI498","Escola Fundamental","325","A","532"
"2399","CLI499","Escola Secundária","415","D","521"
"2400","CLI500","Escola Secundária","414","A","527"
"2401","CLI501","Universidade Privada","468","C","505"
"2402","CLI502","Universidade Privada","479","B","513"
"2403","CLI503","Universidade Privada","300","A","521"
"2404","CLI504","Escola Secundária","356","D","516"
"2405","CLI505","Escola Fundamental","345","C","530"
"2406","CLI506","Universidade Privada","355","B","523"
"2407","CLI507","Escola Secundária","478","A","512"
"2408","CLI508","Escola Secundária","408","C","516"
"2409","CLI509","Universidade Privada","354","B","508"
"2410","CLI510","Escola Fundamental","431","D","520"
"2411","CLI511","Universidade Pública","486","D","530"
"2412","CLI512","Universidade Pública","489","D","532"
"2413","CLI513","Universidade Privada","355","D","516"
"2414","CLI514","Universidade Privada","447","D","525"
"2415","CLI515","Universidade Privada","491","D","501"
"2416","CLI516","Escola Secundária","300","D","532"
"2417","CLI517","Universidade Privada","356","B","512"
"2418","CLI518","Universidade Privada","461","B","510"
"2419","CLI519","Escola Secundária","338","A","518"
"2420","CLI520","Escola Secundária","492","D","517"
"2421","CLI521","Universidade Pública","378","A","504"
"2422","CLI522","Escola Secundária","446","D","508"
"2423","CLI523","Universidade Privada","384","D","533"
"2424","CLI524","Universidade Privada","303","B","501"
"2425","CLI525","Escola Secundária","330","A","521"
"2426","CLI526","Universidade Privada","355","A","507"
"2427","CLI527","Escola Fundamental","444","A","506"
"2428","CLI528","Escola Secundária","395","A","510"
"2429","CLI529","Universidade Privada","400","D","501"
"2430","CLI530","Universidade Privada","330","B","527"
"2431","CLI531","Universidade Privada","307","B","504"
"2432","CLI532","Escola Fundamental","460","C","533"
"2433","CLI533","Universidade Privada","377","A","522"
"2434","CLI534","Escola Secundária","428","D","506"
"2435","CLI535","Escola Secundária","425","D","509"
"2436","CLI536","Escola Fundamental","449","D","522"
"2437","CLI537","Universidade Privada","485","B","514"
"2438","CLI538","Escola Secundária","457","D","509"
"2439","CLI539","Escola Fundamental","388","B","500"
"2440","CLI540","Escola Secundária","410","D","526"
"2441","CLI541","Escola Fundamental","486","B","505"
"2442","CLI542","Escola Fundamental","378","A","501"
"2443","CLI543","Universidade Privada","301","B","526"
"2444","CLI544","Escola Secundária","441","A","517"
"2445","CLI545","Universidade Privada","407","B","508"
"2446","CLI546","Escola Fundamental","431","A","509"
"2447","CLI547","Universidade Privada","326","D","501"
"2448","CLI548","Escola Fundamental","306","A","520"
"2449","CLI549","Escola Secundária","445","D","509"
"2450","CLI550","Escola Secundária","415","A","520"
"2451","CLI551","Escola Fundamental","362","C","505"
"2452","CLI552","Universidade Privada","348","D","515"
"2453","CLI553","Escola Secundária","361","D","532"
"2454","CLI554","Universidade Privada","429","B","532"
"2455","CLI555","Universidade Pública","323","A","522"
"2456","CLI556","Escola Fundamental","358","C","521"
"2457","CLI557","Universidade Pública","341","C","529"
"2458","CLI558","Universidade Privada","374","A","502"
"2459","CLI559","Escola Fundamental","443","D","521"
"2460","CLI560","Escola Fundamental","446","C","515"
"2461","CLI561","Universidade Pública","446","A","501"
"2462","CLI562","Escola Secundária","360","C","526"
"2463","CLI563","Universidade Privada","315","A","527"
"2464","CLI564","Universidade Pública","423","C","515"
"2465","CLI565","Escola Fundamental","492","D","510"
"2466","CLI566","Universidade Pública","398","D","527"
"2467","CLI567","Escola Fundamental","395","D","507"
"2468","CLI568","Universidade Privada","322","B","505"
"2469","CLI569","Escola Secundária","399","B","524"
"2470","CLI570","Universidade Privada","480","A","504"
"2471","CLI571","Universidade Privada","336","A","530"
"2472","CLI572","Escola Fundamental","495","D","501"
"2473","CLI573","Universidade Privada","451","A","503"
"2474","CLI574","Escola Fundamental","312","A","518"
"2475","CLI575","Universidade Privada","408","D","518"
"2476","CLI576","Universidade Pública","467","D","523"
"2477","CLI577","Escola Fundamental","352","A","506"
"2478","CLI578","Universidade Privada","356","B","511"
"2479","CLI579","Escola Fundamental","498","C","525"
"2480","CLI580","Escola Secundária","410","C","531"
"2481","CLI581","Escola Fundamental","397","D","512"
"2482","CLI582","Universidade Privada","492","A","528"
"2483","CLI583","Universidade Privada","360","D","523"
"2484","CLI584","Escola Fundamental","309","D","500"
"2485","CLI585","Escola Fundamental","482","D","507"
"2486","CLI586","Universidade Privada","335","B","503"
"2487","CLI587","Universidade Privada","450","B","500"
"2488","CLI588","Universidade Privada","461","B","527"
"2489","CLI589","Escola Fundamental","415","D","505"
"2490","CLI590","Universidade Pública","327","A","530"
"2491","CLI591","Universidade Privada","332","D","514"
"2492","CLI592","Universidade Privada","478","C","514"
"2493","CLI593","Universidade Privada","362","B","531"
"2494","CLI594","Universidade Pública","397","D","504"
"2495","CLI595","Universidade Privada","494","A","533"
"2496","CLI596","Escola Fundamental","467","A","525"
"2497","CLI597","Escola Secundária","420","A","526"
"2498","CLI598","Universidade Privada","384","C","500"
"2499","CLI599","Universidade Privada","328","B","512"
"2500","CLI600","Escola Secundária","359","B","512"
"2501","CLI601","Escola Fundamental","353","D","521"
"2502","CLI602","Escola Fundamental","404","D","517"
"2503","CLI603","Universidade Privada","358","C","503"
"2504","CLI604","Universidade Pública","345","B","532"
"2505","CLI605","Universidade Privada","318","A","508"
"2506","CLI606","Universidade Pública","334","B","502"
"2507","CLI607","Escola Secundária","451","B","507"
"2508","CLI608","Universidade Privada","435","C","523"
"2509","CLI609","Universidade Pública","448","A","531"
"2510","CLI610","Universidade Privada","487","C","531"
"2511","CLI611","Escola Fundamental","312","A","530"
"2512","CLI612","Universidade Pública","326","A","527"
"2513","CLI613","Escola Fundamental","486","B","529"
"2514","CLI614","Escola Fundamental","381","B","500"
"2515","CLI615","Universidade Privada","452","B","532"
"2516","CLI616","Universidade Pública","398","B","524"
"2517","CLI617","Escola Fundamental","354","B","502"
"2518","CLI618","Escola Secundária","371","C","531"
"2519","CLI619","Universidade Privada","482","B","516"
"2520","CLI620","Universidade Pública","495","D","529"
"2521","CLI621","Escola Secundária","478","D","526"
"2522","CLI622","Universidade Pública","333","B","501"
"2523","CLI623","Universidade Pública","350","D","516"
"2524","CLI624","Escola Fundamental","487","A","521"
"2525","CLI625","Universidade Pública","402","C","515"
"2526","CLI626","Escola Fundamental","440","B","510"
"2527","CLI627","Universidade Privada","317","D","518"
"2528","CLI628","Universidade Pública","388","C","509"
"2529","CLI629","Universidade Privada","316","B","528"
"2530","CLI630","Universidade Privada","394","B","523"
"2531","CLI631","Universidade Privada","407","A","520"
"2532","CLI632","Universidade Privada","364","D","518"
"2533","CLI633","Escola Fundamental","409","D","528"
"2534","CLI634","Universidade Privada","426","D","510"
"2535","CLI635","Escola Secundária","445","B","528"
"2536","CLI636","Escola Secundária","388","D","501"
"2537","CLI637","Universidade Pública","309","D","524"
"2538","CLI638","Escola Secundária","333","C","512"
"2539","CLI639","Escola Fundamental","478","B","514"
"2540","CLI640","Escola Fundamental","402","A","531"
"2541","CLI641","Universidade Pública","436","C","502"
"2542","CLI642","Escola Secundária","336","A","526"
"2543","CLI643","Escola Fundamental","351","D","509"
"2544","CLI644","Universidade Privada","391","C","513"
"2545","CLI645","Escola Secundária","428","A","525"
"2546","CLI646","Escola Fundamental","387","C","531"
"2547","CLI647","Escola Secundária","407","B","524"
"2548","CLI648","Escola Secundária","392","A","531"
"2549","CLI649","Escola Fundamental","417","B","514"
"2550","CLI650","Escola Secundária","410","B","523"
"2551","CLI651","Universidade Privada","444","A","522"
"2552","CLI652","Universidade Privada","363","C","527"
"2553","CLI653","Escola Fundamental","400","C","513"
"2554","CLI654","Escola Secundária","318","B","503"
"2555","CLI655","Escola Fundamental","485","B","518"
"2556","CLI656","Universidade Privada","464","D","510"
"2557","CLI657","Escola Fundamental","312","B","513"
"2558","CLI658","Escola Secundária","337","C","516"
"2559","CLI659","Universidade Privada","478","C","500"
"2560","CLI660","Universidade Privada","368","B","508"
"2561","CLI661","Universidade Privada","394","A","513"
"2562","CLI662","Universidade Privada","324","D","520"
"2563","CLI663","Universidade Privada","426","A","509"
"2564","CLI664","Universidade Privada","451","D","526"
"2565","CLI665","Universidade Privada","309","D","529"
"2566","CLI666","Universidade Privada","401","A","504"
"2567","CLI667","Universidade Privada","444","D","501"
"2568","CLI668","Universidade Privada","393","B","525"
"2569","CLI669","Universidade Privada","311","D","500"
"2570","CLI670","Universidade Privada","480","C","500"
"2571","CLI671","Universidade Privada","308","C","502"
"2572","CLI672","Universidade Privada","435","C","533"
"2573","CLI673","Universidade Privada","446","C","522"
